id_producto,fecha,cantidad,id_tienda
1,28/07/2018,8,4
2,02/09/2018,8,89
3,21/04/2018,2,55
4,22/03/2021,10,18
5,11/12/2020,6,78
6,27/05/2021,8,30
7,17/09/2019,4,68
8,12/11/2022,4,26
9,17/01/2018,10,59
10,29/06/2021,2,27
11,07/12/2022,6,78
12,21/02/2022,10,61
13,30/01/2020,3,34
14,23/02/2018,3,47
15,17/08/2021,3,14
1,10/12/2022,5,93
2,18/08/2022,9,88
3,18/07/2019,7,76
4,05/02/2018,6,34
5,24/05/2018,9,7
6,29/12/2021,1,92
7,30/06/2020,8,4
8,29/08/2020,2,34
9,23/07/2019,4,92
10,15/06/2021,8,13
11,29/01/2019,6,47
12,12/05/2019,2,64
13,20/08/2021,3,50
14,25/04/2018,8,22
15,05/03/2022,8,9
1,09/04/2022,10,98
2,11/03/2019,4,41
3,12/06/2020,2,25
4,31/05/2018,8,87
5,30/10/2022,4,71
6,13/07/2020,4,15
7,01/07/2020,2,51
8,15/09/2022,9,12
9,01/07/2020,9,66
10,14/04/2019,7,38
11,15/07/2020,10,39
12,28/10/2019,10,83
13,11/09/2019,2,76
14,03/10/2019,5,45
15,03/01/2021,8,41
1,22/11/2018,2,2
2,01/10/2021,5,74
3,24/04/2019,1,58
4,19/05/2019,2,25
5,26/06/2018,2,38
6,22/09/2021,5,12
7,25/07/2020,9,62
8,22/08/2020,5,85
9,29/11/2018,7,11
10,15/05/2020,10,78
11,21/05/2019,8,84
12,11/09/2021,4,93
13,05/01/2020,5,13
14,28/01/2021,10,77
15,03/07/2018,2,94
1,17/10/2018,7,16
2,17/04/2019,6,35
3,24/10/2021,2,3
4,22/04/2022,2,78
5,25/08/2021,2,19
6,04/10/2022,9,23
7,20/04/2022,5,52
8,25/10/2022,4,83
9,13/07/2021,10,21
10,28/03/2020,1,61
11,04/12/2022,7,99
12,10/06/2019,9,28
13,27/06/2021,10,61
14,09/07/2021,7,14
15,02/03/2021,6,48
1,21/11/2019,7,36
2,08/05/2020,3,29
3,30/11/2021,4,19
4,16/04/2019,9,3
5,27/03/2018,9,47
6,03/02/2022,4,40
7,21/01/2020,8,52
8,12/04/2022,4,47
9,14/05/2020,9,10
10,11/08/2022,3,40
11,30/06/2018,6,57
12,18/04/2021,9,39
13,10/05/2020,4,55
14,11/01/2021,7,100
15,08/09/2020,4,34
1,21/12/2021,8,3
2,25/08/2021,8,81
3,05/03/2020,2,24
4,26/07/2018,7,5
5,14/01/2021,6,74
6,27/08/2022,2,91
7,28/03/2018,7,69
8,21/04/2022,5,1
9,25/01/2018,2,43
10,22/09/2020,2,2
11,12/12/2022,10,2
12,10/01/2018,4,29
13,12/11/2022,4,40
14,22/04/2021,2,67
15,20/07/2021,5,1
1,19/12/2018,8,74
2,12/04/2021,5,23
3,01/10/2022,6,18
4,14/05/2019,8,6
5,08/03/2020,1,41
6,15/04/2019,6,77
7,10/07/2018,1,71
8,16/11/2019,4,62
9,18/07/2021,9,24
10,11/09/2019,7,49
11,08/02/2020,2,5
12,24/09/2022,5,49
13,15/04/2018,1,61
14,13/08/2019,1,33
15,20/06/2020,9,24
1,02/02/2021,10,96
2,25/07/2019,1,61
3,21/09/2021,5,70
4,22/09/2022,3,72
5,07/04/2020,7,35
6,02/06/2021,8,31
7,12/11/2022,2,39
8,03/06/2021,8,17
9,03/03/2019,3,32
10,19/05/2022,10,48
11,29/03/2019,5,56
12,10/07/2022,2,37
13,19/05/2018,1,4
14,26/03/2019,5,97
15,04/08/2021,6,91
1,03/07/2018,2,58
2,11/11/2020,10,14
3,17/08/2019,2,89
4,08/08/2022,1,28
5,13/09/2021,4,20
6,15/11/2018,8,24
7,18/03/2019,3,51
8,24/11/2018,10,100
9,08/04/2022,7,49
10,07/11/2018,4,46
11,21/12/2018,10,42
12,27/04/2021,7,51
13,06/06/2019,3,44
14,18/02/2018,8,2
15,22/05/2019,2,73
1,16/04/2022,6,50
2,26/06/2020,2,78
3,11/08/2019,8,56
4,10/08/2021,8,85
5,20/11/2019,4,35
6,19/03/2020,9,54
7,31/12/2022,9,61
8,15/01/2019,4,47
9,25/04/2018,5,37
10,13/01/2019,9,50
11,20/02/2018,9,39
12,27/07/2022,10,91
13,15/06/2022,4,2
14,05/05/2018,4,49
15,04/04/2021,2,85
1,18/08/2020,7,95
2,17/06/2018,3,90
3,08/02/2020,1,71
4,15/10/2019,4,81
5,29/07/2018,6,33
6,25/09/2019,6,52
7,31/03/2019,4,68
8,21/05/2019,4,7
9,22/07/2019,9,31
10,29/01/2020,6,77
11,15/06/2022,4,15
12,28/11/2020,6,18
13,13/04/2018,5,12
14,15/06/2022,2,57
15,06/06/2022,10,27
1,14/08/2020,5,17
2,25/04/2019,5,20
3,24/01/2018,2,36
4,06/01/2021,5,18
5,14/06/2022,9,28
6,19/08/2022,8,45
7,14/10/2019,8,91
8,20/04/2022,10,35
9,13/04/2018,10,53
10,14/07/2018,10,97
11,15/12/2019,8,29
12,02/04/2019,7,1
13,01/11/2021,6,43
14,09/07/2018,5,47
15,02/04/2022,5,97
1,29/03/2020,7,91
2,06/10/2021,2,34
3,25/02/2019,6,44
4,05/09/2021,6,6
5,29/04/2020,7,99
6,16/01/2019,6,61
7,07/02/2019,6,43
8,12/02/2022,6,36
9,29/08/2019,3,54
10,20/06/2022,7,6
11,15/09/2019,5,25
12,10/01/2021,9,66
13,07/08/2022,9,62
14,23/03/2018,7,26
15,20/11/2020,9,7
1,01/05/2021,5,62
2,11/10/2019,5,91
3,12/01/2021,7,28
4,25/11/2019,6,69
5,29/12/2020,5,96
6,03/03/2021,9,12
7,11/10/2019,6,60
8,16/07/2022,8,62
9,08/02/2020,2,73
10,16/03/2022,7,39
11,22/01/2018,7,68
12,05/07/2019,1,49
13,07/09/2021,1,24
14,01/04/2020,6,50
15,26/01/2018,3,46
1,05/11/2021,1,54
2,05/09/2020,5,4
3,11/01/2020,8,46
4,05/05/2021,9,87
5,30/03/2022,2,37
6,12/11/2020,4,43
7,05/05/2022,7,99
8,29/08/2022,6,74
9,14/12/2022,8,86
10,31/01/2018,6,64
11,16/08/2018,5,27
12,06/06/2020,5,50
13,05/01/2019,1,13
14,16/08/2019,10,62
15,01/11/2018,8,92
